2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-rs-extension-providers/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-rs-extension-search/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-rs-json-basic/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-rs-service-description/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-security/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-security-saml/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-transports-http/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-transports-http-jetty/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-transports-jms/3.3.4
2021-01-04T16:31:23,322 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-transports-local/3.3.4
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-transports-udp/3.3.4
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-ws-addr/3.3.4
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-ws-mex/3.3.4
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-ws-policy/3.3.4
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-ws-rm/3.3.4
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-ws-security/3.3.4
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf/cxf-rt-wsdl/3.3.4
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf.karaf/cxf-karaf-commands/3.3.4
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.cxf.xjc-utils/cxf-xjc-runtime/3.3.0
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.felix/org.apache.felix.inventory/1.0.4
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.felix/org.apache.felix.scr/2.1.16
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.felix/org.apache.felix.webconsole.plugins.ds/2.1.0
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.felix/org.apache.felix.webconsole.plugins.event/1.1.8
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.felix/org.apache.felix.webconsole.plugins.memoryusage/1.0.10
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.geronimo.specs/geronimo-jaspic_1.0_spec/1.1
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.geronimo.specs/geronimo-jms_1.1_spec/1.1.1
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.geronimo.specs/geronimo-jta_1.1_spec/1.1.1
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.geronimo.specs/geronimo-osgi-registry/1.1
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.geronimo.specs/geronimo-ws-metadata_2.0_spec/1.1.3
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.james/apache-mime4j-core/0.7.2
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.7.tesb1
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf/org.apache.karaf.event/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.http/org.apache.karaf.http.core/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.2.7
2021-01-04T16:31:23,337 | INFO  | features-3-thread-1 | rnal.service.FeaturesServiceImpl 1110 | 11 - org.apache.karaf.features.core - 4.2.7 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.7
